feature_en,label_vi,keywords_vi,mapping_source
acne or pimples,Mụn trứng cá,mụn trứng cá; mụn,auto
acute liver failure,Suy gan cấp,suy gan cấp,manual
allergic reaction,Dị ứng,dị ứng; phản ứng dị ứng,auto
"Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)","Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)",,unmapped
altered sensorium,Rối loạn ý thức,rối loạn ý thức; lơ mơ,manual
ankle pain,Đau cổ chân,đau cổ chân; nhức cổ chân; đau mắt cá chân; nhức mắt cá chân,auto
ankle swelling,Sưng cổ chân,sưng cổ chân; phù cổ chân; sưng mắt cá chân; phù mắt cá chân,auto
anxiety,Lo âu,lo âu; bồn chồn; hồi hộp lo lắng,manual
anxiety and nervousness,Anxiety and nervousness,,unmapped
"Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings","Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings",,unmapped
arm lump or mass,Khối ở tay,khối ở tay; u cục ở tay; khối ở cánh tay; u cục ở cánh tay,auto
arm pain,Đau tay,đau tay; nhức tay; đau cánh tay; nhức cánh tay,auto
arm stiffness or tightness,Cứng tay,cứng tay; căng tay; cứng cánh tay; căng cánh tay,auto
arm swelling,Sưng tay,sưng tay; phù tay; sưng cánh tay; phù cánh tay,auto
arm weakness,Yếu tay,yếu tay; yếu cánh tay,auto
back cramps or spasms,Co thắt lưng,co thắt lưng; chuột rút lưng,auto
back mass or lump,Khối ở lưng,khối ở lưng; u cục ở lưng,auto
back pain,Đau lưng,đau lưng; nhức lưng,manual+auto
back stiffness or tightness,Cứng lưng,cứng lưng; căng lưng,auto
belly pain,Đau bụng dưới,đau bụng dưới; đau bụng; nhức bụng,manual+auto
blackheads,Mụn đầu đen,mụn đầu đen,manual
bladder discomfort,Khó chịu bàng quang,khó chịu bàng quang; đau bàng quang,manual
bleeding from ear,Chảy máu tai,chảy máu tai,auto
bleeding from eye,Chảy máu mắt,chảy máu mắt,auto
bleeding gums,Chảy máu nướu,chảy máu nướu; chảy máu lợi; nướu chảy máu; lợi chảy máu,manual+auto
blindness,Mất thị lực,mất thị lực,auto
blister,Mụn nước,mụn nước; bọng nước,manual
blood clots during menstrual periods,Máu cục khi hành kinh,máu cục khi hành kinh; kinh nguyệt có máu cục,auto
blood in sputum,Ho ra máu,ho ra máu; đờm có máu,manual
blood in stool,Đi ngoài ra máu,đi ngoài ra máu; phân có máu,auto
blood in urine,Tiểu ra máu,tiểu ra máu; nước tiểu có máu,auto
"Blood in urine, frequent urination, pelvic pain","Blood in urine, frequent urination, pelvic pain",,unmapped
bloody stool,Đi ngoài ra máu,đi ngoài ra máu; phân máu,manual
blurred and distorted vision,Nhìn mờ,nhìn mờ; mờ mắt,manual
"Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss","Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss",,unmapped
"Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss","Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss",,unmapped
"Blurred vision, halos around lights, eye pain","Blurred vision, halos around lights, eye pain",,unmapped
"Bone pain, fractures, fatigue, unexplained weight loss","Bone pain, fractures, fatigue, unexplained weight loss",,unmapped
bones are painful,Bones are painful,,unmapped
"Breast lump, changes in breast size or shape, nipple changes, breast pain","Breast lump, changes in breast size or shape, nipple changes, breast pain",,unmapped
breathing fast,Thở nhanh,thở nhanh,auto
breathlessness,Khó thở,khó thở; hụt hơi; thở gấp,manual
brittle nails,Móng giòn,móng giòn; móng dễ gãy,manual
bruising,Bầm tím,bầm tím; vết bầm,manual
burning abdominal pain,Đau bụng,đau bụng; nhức bụng; nóng rát bụng; bỏng rát bụng,auto
burning chest pain,Đau ngực,đau ngực; nhức ngực; nóng rát ngực; bỏng rát ngực,auto
burning micturition,Tiểu buốt,tiểu buốt; tiểu rát; đái buốt,manual
changes in stool appearance,Thay đổi tính chất phân,thay đổi tính chất phân; phân bất thường,auto
"Chest or back pain, shortness of breath, hoarseness, difficulty swallowing","Chest or back pain, shortness of breath, hoarseness, difficulty swallowing",,unmapped
chest pain,Đau ngực,đau ngực; tức ngực; nhức ngực,manual+auto
"Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever","Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever",,unmapped
"Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)","Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)",,unmapped
"Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)","Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)",,unmapped
"Chest pain, difficulty breathing, tenderness or swelling over the ribcage","Chest pain, difficulty breathing, tenderness or swelling over the ribcage",,unmapped
"Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone","Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone",,unmapped
chest tightness,Tức ngực,tức ngực; nặng ngực; đè nặng ngực; căng tức ngực; cứng ngực; căng ngực,manual+auto
chills,Ớn lạnh,ớn lạnh; lạnh run; rét,manual
"Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases","Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases",,unmapped
"Chronic diarrhea, weight loss, abdominal pain or bloating, nutrient deficiencies (vitamins, minerals), fatigue, failure to thrive","Chronic diarrhea, weight loss, abdominal pain or bloating, nutrient deficiencies (vitamins, minerals), fatigue, failure to thrive",,unmapped
cold hands and feets,Tay chân lạnh,tay chân lạnh; bàn tay lạnh; bàn chân lạnh,manual
coma,Hôn mê,hôn mê,manual
"Compulsive use of opioids, strong desire or cravings for opioids, inability to control or reduce opioid use, withdrawal symptoms (such as nausea, muscle aches, anxiety) when attempting to stop or reduce use, tolerance to opioids, continued use despite negative consequences (such as legal issues, health problems)","Compulsive use of opioids, strong desire or cravings for opioids, inability to control or reduce opioid use, withdrawal symptoms (such as nausea, muscle aches, anxiety) when attempting to stop or reduce use, tolerance to opioids, continued use despite negative consequences (such as legal issues, health problems)",,unmapped
congestion,Nghẹt mũi,nghẹt mũi; tắc mũi,manual
congestion in chest,Congestion in chest,,unmapped
constipation,Táo bón,táo bón,manual
continuous feel of urine,Cảm giác muốn tiểu liên tục,cảm giác muốn tiểu liên tục; mắc tiểu liên tục,manual
continuous sneezing,Hắt hơi,hắt hơi; hắt hơi liên tục; nhảy mũi; nhảy mũi liên tục,manual
coryza,Sổ mũi,sổ mũi; chảy nước mũi,auto
cough,Ho,ho; ho khan; ho nhiều,manual
"Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue","Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue",,unmapped
"Cough, fever, chest pain, difficulty breathing","Cough, fever, chest pain, difficulty breathing",,unmapped
"Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum","Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum",,unmapped
"cough, sore throat, runny nose, sneezing","Cough, sore throat, runny nose, sneezing",,unmapped
"cough, weight loss, fever, night sweats","Cough, weight loss, fever, night sweats",,unmapped
coughing up sputum,Ho có đờm,ho có đờm; khạc đờm,auto
cramps,Chuột rút,chuột rút; co rút cơ,manual
cramps and spasms,Cramps and spasms,,unmapped
"Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol","Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol",,unmapped
dark urine,Nước tiểu sẫm,nước tiểu sẫm; tiểu sẫm màu; nước tiểu đậm,manual
decreased appetite,Chán ăn,chán ăn; ăn kém,auto
"Decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures","Decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures",,unmapped
dehydration,Mất nước,mất nước; khô môi; khát nước nhiều,manual
delusions or hallucinations,Hoang tưởng,hoang tưởng; ảo giác,auto
Depends on the specific cranial nerve involved,Depends on the specific cranial nerve involved,,unmapped
depression,Trầm cảm,trầm cảm; buồn bã kéo dài,manual
depressive or psychotic symptoms,Depressive or psychotic symptoms,,unmapped
diaper rash,Hăm tã,hăm tã,auto
diarrhea,Tiêu chảy,tiêu chảy; đi ngoài phân lỏng,auto
diarrhoea,Tiêu chảy,tiêu chảy; đi ngoài phân lỏng; đi ngoài lỏng; đi phân lỏng,manual
difficulty breathing,Khó thở,khó thở; thở khó; hụt hơi,auto
"Difficulty breathing, rapid breathing, chest pain","Difficulty breathing, rapid breathing, chest pain",,unmapped
"Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating","Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating",,unmapped
difficulty in swallowing,Khó nuốt,khó nuốt; nuốt khó,auto
difficulty speaking,Difficulty speaking,,unmapped
"Difficulty swallowing, unintentional weight loss, chest pain, hoarseness","Difficulty swallowing, unintentional weight loss, chest pain, hoarseness",,unmapped
diminished hearing,Giảm thính lực,giảm thính lực; nghe kém,auto
diminished vision,Giảm thị lực,giảm thị lực; nhìn kém,auto
dischromic patches,Mảng đổi màu da,mảng đổi màu da; da đổi màu; mảng trắng loang; da loang màu; loang da,manual+auto
distention of abdomen,Chướng bụng,chướng bụng; bụng căng,manual
disturbance of memory,Rối loạn trí nhớ,rối loạn trí nhớ; giảm trí nhớ,auto
dizziness,Chóng mặt,chóng mặt; hoa mắt; choáng; choáng váng,manual
double vision,Nhìn đôi,nhìn đôi,auto
drug abuse,Lạm dụng thuốc,lạm dụng thuốc; lạm dụng chất,auto
drying and tingling lips,Khô môi,khô môi; tê môi,manual
ear pain,Đau tai,đau tai; nhức tai,auto
"Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling","Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling",,unmapped
"Ear pain, fever, fluid drainage from the ear","Ear pain, fever, fluid drainage from the ear",,unmapped
"Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear","Ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear",,unmapped
"Ear pain, hearing loss, ear drainage, dizziness or vertigo, tinnitus","Ear pain, hearing loss, ear drainage, dizziness or vertigo, tinnitus",,unmapped
"Ear pain, hearing loss, recurrent ear infections","Ear pain, hearing loss, recurrent ear infections",,unmapped
"Easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding","Easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding",,unmapped
elbow pain,Đau khuỷu tay,đau khuỷu tay; nhức khuỷu tay,auto
elbow swelling,Sưng khuỷu tay,sưng khuỷu tay; phù khuỷu tay,auto
"Elevated intraocular pressure, visual field loss","Elevated intraocular pressure, visual field loss",,unmapped
enlarged thyroid,Bướu cổ,bướu cổ; tuyến giáp to,manual
"Enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing","Enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing",,unmapped
excessive anger,Dễ tức giận,dễ tức giận; giận dữ quá mức,auto
"Excessive body weight, increased risk of chronic conditions","Excessive body weight, increased risk of chronic conditions",,unmapped
"Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)","Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)",,unmapped
excessive hunger,Đói nhiều,đói nhiều; ăn nhiều,manual
"Excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities","Excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities",,unmapped
excessive urination at night,Tiểu đêm nhiều,tiểu đêm nhiều; đi tiểu nhiều ban đêm,auto
"Excessive worrying, restlessness, increased heart rate, panic attacks","Excessive worrying, restlessness, increased heart rate, panic attacks",,unmapped
"Excessively concentrated urine, low blood sodium levels","Excessively concentrated urine, low blood sodium levels",,unmapped
extra marital contacts,Quan hệ ngoài luồng,quan hệ ngoài luồng; quan hệ tình dục nguy cơ,manual
eye burns or stings,Nóng rát mắt,nóng rát mắt; bỏng rát mắt,auto
"Eye pain, blurred vision, sensitivity to light","Eye pain, blurred vision, sensitivity to light",,unmapped
"Eye pain, redness, foreign body sensation, sensitivity to light","Eye pain, redness, foreign body sensation, sensitivity to light",,unmapped
"Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever","Eye pain, redness, swelling, blurred vision, decreased vision, floaters (dark spots or cobwebs in the vision), increased sensitivity to light (photophobia), discharge from the eye, excessive tearing, fever",,unmapped
"Eye pain, swelling, redness, vision changes","Eye pain, swelling, redness, vision changes",,unmapped
eye redness,Đỏ mắt,đỏ mắt; mắt đỏ,auto
"Eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light","Eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light",,unmapped
"Eye redness, severe eye pain, blurred vision","Eye redness, severe eye pain, blurred vision",,unmapped
eyelid lesion or rash,Tổn thương mí mắt,tổn thương mí mắt; phát ban mí mắt,auto
eyelid swelling,Sưng mí mắt,sưng mí mắt; phù mí mắt,auto
facial pain,Đau mặt,đau mặt; nhức mặt,auto
"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)","Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)",,unmapped
"Facial pain or pressure, nasal congestion, thick nasal discharge, postnasal drip, cough, fatigue","Facial pain or pressure, nasal congestion, thick nasal discharge, postnasal drip, cough, fatigue",,unmapped
"Facial weakness or paralysis, drooping of the mouth or eyelid","Facial weakness or paralysis, drooping of the mouth or eyelid",,unmapped
fainting,Ngất,ngất; xỉu,auto
family history,Tiền sử gia đình,tiền sử gia đình,manual
fast heart rate,Tim đập nhanh,tim đập nhanh; mạch nhanh,manual
fatigue,Mệt mỏi,mệt mỏi; mệt; đuối sức,manual
"Fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)","Fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)",,unmapped
"Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms","Fatigue, dizziness, fainting, chest pain or discomfort, shortness of breath, irregular heart rhythms",,unmapped
"Fatigue, Increased hunger, Slow healing of wounds","Fatigue, increased hunger, slow healing of wounds",,unmapped
"Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss","Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss",,unmapped
"Fatigue, nausea, excessive thirst, kidney stones","Fatigue, nausea, excessive thirst, kidney stones",,unmapped
"Fatigue, pale skin, frequent infections, easy bleeding or bruising","Fatigue, pale skin, frequent infections, easy bleeding or bruising",,unmapped
"Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles","Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles",,unmapped
"Fatigue, sore throat, swollen lymph nodes","Fatigue, sore throat, swollen lymph nodes",,unmapped
"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure","Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure",,unmapped
"Fatigue, swollen and bleeding gums, joint pain","Fatigue, swollen and bleeding gums, joint pain",,unmapped
"Fatigue, weakness, bone pain, frequent urination, kidney stones","Fatigue, weakness, bone pain, frequent urination, kidney stones",,unmapped
"Fatigue, weakness, pale skin","Fatigue, weakness, pale skin",,unmapped
"Fatigue, weakness, pale skin, shortness of breath","Fatigue, weakness, pale skin, shortness of breath",,unmapped
"Fatigue, weakness, pale skin, shortness of breath, jaundice","Fatigue, weakness, pale skin, shortness of breath, jaundice",,unmapped
"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue","Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue",,unmapped
"Fatigue, weakness, shortness of breath, pale skin","Fatigue, weakness, shortness of breath, pale skin",,unmapped
"Fatigue, weight changes, mood swings, dry skin","Fatigue, weight changes, mood swings, dry skin",,unmapped
"Fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold","Fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold",,unmapped
"Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels","Fatigue, weight gain, sensitivity to cold, dry skin, constipation, depression, muscle weakness, elevated cholesterol levels",,unmapped
fears and phobias,Fears and phobias,,unmapped
feeling ill,Cảm thấy mệt,cảm thấy mệt; khó chịu trong người,auto
fever,Sốt,sốt,manual
"Fever, chest pain, productive cough with foul-smelling or bloody sputum","Fever, chest pain, productive cough with foul-smelling or bloody sputum",,unmapped
"Fever, chills, back or flank pain, frequent urination","Fever, chills, back or flank pain, frequent urination",,unmapped
"Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing","Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing",,unmapped
flu-like syndrome,Triệu chứng giống cúm,triệu chứng giống cúm; hội chứng giống cúm,auto
fluid in ear,Dịch trong tai,dịch trong tai; chảy dịch tai,auto
fluid overload.1,Quá tải dịch,quá tải dịch; ứ dịch,manual
fluid retention,Giữ nước,giữ nước; ứ dịch; phù,auto
focal weakness,Yếu khu trú,yếu khu trú; yếu một vùng cơ thể,auto
foot or toe pain,Đau ngón chân,đau ngón chân; nhức ngón chân,auto
foot or toe swelling,Sưng ngón chân,sưng ngón chân; phù ngón chân,auto
"Foot pain or achiness, difficulty with foot and ankle movement, foot fatigue, swelling","Foot pain or achiness, difficulty with foot and ankle movement, foot fatigue, swelling",,unmapped
foreign body sensation in eye,Cộm mắt,cộm mắt; cảm giác dị vật trong mắt,auto
foul smell of urine,Nước tiểu hôi,nước tiểu hôi; tiểu hôi,auto
"Fragile bones, loss of height over time, back pain, fractures","Fragile bones, loss of height over time, back pain, fractures",,unmapped
Frequent episodes of stone formation,Frequent episodes of stone formation,,unmapped
frequent menstruation,Frequent menstruation,,unmapped
"Frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)","Frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)",,unmapped
frequent urination,Tiểu nhiều,tiểu nhiều; đi tiểu thường xuyên,auto
"Frequent urination, burning sensation during urination, cloudy or bloody urine, pelvic pain","Frequent urination, burning sensation during urination, cloudy or bloody urine, pelvic pain",,unmapped
"Frequent urination, Increased thirst, Weight loss","Frequent urination, increased thirst, weight loss",,unmapped
frontal headache,Đau đầu vùng trán,đau đầu vùng trán; đau trán,manual+auto
"Gradual loss of peripheral vision, tunnel vision","Gradual loss of peripheral vision, tunnel vision",,unmapped
"Gradual loss of vision, visual field defects","Gradual loss of vision, visual field defects",,unmapped
groin pain,Đau bẹn,đau bẹn; nhức bẹn,auto
gum pain,Đau nướu,đau nướu; đau lợi; nướu đau; lợi đau; nhức nướu; nhức lợi,manual+auto
"Hair loss or balding, patchy or generalized hair loss","Hair loss or balding, patchy or generalized hair loss",,unmapped
hand or finger lump or mass,Khối ở ngón tay,khối ở ngón tay; u cục ở ngón tay,auto
hand or finger pain,Đau ngón tay,đau ngón tay; nhức ngón tay,auto
hand or finger stiffness or tightness,Cứng ngón tay,cứng ngón tay; căng ngón tay,auto
hand or finger swelling,Sưng ngón tay,sưng ngón tay; phù ngón tay,auto
hand or finger weakness,Yếu ngón tay,yếu ngón tay,auto
headache,Đau đầu,đau đầu; nhức đầu,manual
"Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes","Headache, dizziness, nausea or vomiting, confusion, memory problems, sensitivity to light or noise, mood changes",,unmapped
"Headache, fever, confusion, seizures, neurological symptoms","Headache, fever, confusion, seizures, neurological symptoms",,unmapped
"Headache, fever, fatigue, cough, meningitis, pneumonia","Headache, fever, fatigue, cough, meningitis, pneumonia",,unmapped
"Headache, fever, neurological deficits","Headache, fever, neurological deficits",,unmapped
"Headaches, nausea, seizures, changes in coordination or balance","Headaches, nausea, seizures, changes in coordination or balance",,unmapped
"Headaches, vision problems (such as blurred vision or loss of peripheral vision), hormonal imbalances (such as excessive production or deficiency of specific hormones), fatigue, weight gain or loss, menstrual irregularities, infertility, erectile dysfunction, growth abnormalities in children, mood changes, cognitive impairments","Headaches, vision problems (such as blurred vision or loss of peripheral vision), hormonal imbalances (such as excessive production or deficiency of specific hormones), fatigue, weight gain or loss, menstrual irregularities, infertility, erectile dysfunction, growth abnormalities in children, mood changes, cognitive impairments",,unmapped
heartburn,Ợ nóng,ợ nóng; nóng rát thượng vị; nóng rát sau xương ức,manual+auto
"Heartburn, acid reflux, chest pain","Heartburn, acid reflux, chest pain",,unmapped
"Heartburn, chest pain, difficulty swallowing","Heartburn, chest pain, difficulty swallowing",,unmapped
heavy menstrual flow,Heavy menstrual flow,,unmapped
"Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue","Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue",,unmapped
"Hemangioblastomas (tumors in the brain, spinal cord, or other organs), retinal angiomas (abnormal blood vessel growth in the retina), renal cell carcinomas (kidney tumors), pheochromocytomas (adrenal gland tumors), pancreatic cysts/tumors, other tumors or cysts","Hemangioblastomas (tumors in the brain, spinal cord, or other organs), retinal angiomas (abnormal blood vessel growth in the retina), renal cell carcinomas (kidney tumors), pheochromocytomas (adrenal gland tumors), pancreatic cysts/tumors, other tumors or cysts",,unmapped
hemoptysis,Ho ra máu,ho ra máu,auto
hesitancy,Hesitancy,,unmapped
High blood pressure during pregnancy,High blood pressure during pregnancy,,unmapped
High blood pressure without proteinuria (preeclampsia),High blood pressure without proteinuria (preeclampsia),,unmapped
"High blood pressure, chest pain or discomfort, shortness of breath, fatigue","High blood pressure, chest pain or discomfort, shortness of breath, fatigue",,unmapped
"High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite","High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite",,unmapped
"High blood pressure, proteinuria, swelling, headaches, visual disturbances","High blood pressure, proteinuria, swelling, headaches, visual disturbances",,unmapped
High blood sugar levels during pregnancy,High blood sugar levels during pregnancy,,unmapped
high fever,Sốt cao,sốt cao; sốt 39; sốt 40; sốt trên 39,manual
"High fever, body aches, fatigue, cough, sore throat, congestion","High fever, body aches, fatigue, cough, sore throat, congestion",,unmapped
"High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies","High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies",,unmapped
